,screen_name,text,created_at,lan,location,player,sentiment,latitude,longitude,country
29,7salmy,JIMENEZ! What a crazy ass strike!! Technique Adama Traore is an absolute force of nature. Basically created that goal,2020-07-15 18:36:19,en,Nigeria,Adama,-0.36875,52.3555177,-1.1743197,United Kingdom
30,ola_akodu,Adama Traore !!,2020-07-15 18:36:19,es,At peace,Adama,0.0,39.4840108,-0.7532808999999999,Spain
31,KippySZN,Adama Traore manhandled peoples fathers there,2020-07-15 18:36:23,en,"Kafue, Zambia",Adama,0.0,-15.7643589,28.1766294,Zambia
32,dxrcy_19,Adama Traore no normal,2020-07-15 18:36:32,pt,"Almada, Portugal",Adama,-0.075,38.6765238,-9.165104699999999,Portugal
33,fabiotb,"golao do Raul Jimenez, E QUE JOGADA ABSURDA do Adama Traore no contra ataque",2020-07-15 18:36:35,pt,Bernô City,Adama,0.0,51.4414579,-0.0117006,United Kingdom
34,yakwa4real,Adama Traore x Jimenez sa va gagner l'Europa League facilement tout sa,2020-07-15 18:36:37,fr,Kumokagure no Sato,Adama,0.0,,,
35,7salmy,Adama Traore is superb,2020-07-15 18:36:49,en,Nigeria,Adama,1.0,41.3850639,2.1734035,Spain
36,_jackkkkkk,ADAMA TRAORE. THATS ALL IM GONNA SAY.,2020-07-15 18:36:55,en,Pub,Adama,0.0,6.5243793,3.3792057,Nigeria
37,TimSpiers,"Adama Traore DOES A MADNESS with a scintillating run from deep, played to Doherty, shot blocked and the ball rises",2020-07-15 18:37:00,en,"Wolverhampton, England",Adama,0.0,52.586973,-2.12882,United Kingdom
38,XXXTANNERTACION,"Adama Traore DOES A MADNESS with a scintillating run from deep, played to Doherty, shot blocked and the ball rises for RAUL",2020-07-15 18:37:05,en,"West Midlands, England",Adama,0.0,52.4750743,-1.829833,United Kingdom
39,SteHughes76,"Great run by Adama Traore ! Power, pace, balance &amp; close ball control wow !",2020-07-15 18:37:11,en,Poulton-Le-Fylde,Adama,0.5625,53.843964,-2.986281,United Kingdom
40,LeMarquis1er,Sur le but Adama Traore a fait comme Ibrahimovic dans le PES 6.,2020-07-15 18:37:24,fr,Vous suit,Adama,0.0,6.6666004,-1.6162709,Ghana
41,stiches_says,Man I think Klopp has to get Adama Traore. That guy is a gem. And 24 years is very good.,2020-07-15 18:37:25,en,Ghana | England,Adama,0.91,52.3555177,-1.1743197,United Kingdom
42,_ElMarlo_,Adama Traore with a madness of a run yesses! Jimenez with a sublime finish!! #BURWOL,2020-07-15 18:37:26,en,"Richard's Bay, South Africa",Adama,0.0,-28.7807276,32.0382856,South Africa
43,LungaShabalala,All because of ADAMA TRAORE and his aggressive run!,2020-07-15 18:37:26,en,South Africa,Adama,0.0,6.0784427,-0.2713944,Ghana
44,likor,Dammit #Wolves.  is a beast.,2020-07-15 18:37:34,en,"Kaduna, Nigeria",Adama,0.0,10.5257931,7.417856999999999,Nigeria
45,johnnyrc7,Adama Traore just doing exactly what Dion Dublin said he isnt very good at. Running through the centre#BURWOL,2020-07-15 18:37:45,en,"Newton Aycliffe, England",Adama,0.58,54.61598799999999,-1.575577,United Kingdom
46,ragulkumar143,Adama Traore is the beast.,2020-07-15 18:37:50,en,Chennai,Adama,0.0,13.0826802,80.2707184,India
47,vinirodrigx,adama traore vc brabissimo,2020-07-15 18:38:00,pt,São Carlos - SP,Adama,0.0,-22.0087082,-47.8909263,Brazil
48,MayruVncs,Liverpool deveria levar o Ruben Neves e o Adama Traore,2020-07-15 20:34:31,pt,"Barão de Cocais, Brasil",Adama,0.0,-19.9409462,-43.4812978,Brazil
49,big_man_joshyy,Adama Traore in our team will make us such a threat in a game like this.,2020-07-15 20:39:50,en,"London, England",Adama,-0.2,51.5073509,-0.1277583,United Kingdom
50,manlikedelasi,"Nah, more Adama Traore",2020-07-15 22:02:11,in,West Ldn🤘🏿,Adama,0.5,6.5243793,3.3792057,Nigeria
51,Abdul92Waheed,Shaqiri plus 15m for Adama Traore?,2020-07-15 22:03:25,in,Birmingham,Adama,0.0,33.5185892,-86.8103567,United States
52,SakaLacaBOOOM,everyone talking bout adama traores insane season and lacazettes flop or terrible season yet he still has mo,2020-07-15 22:06:53,en,"Saka, Latvija",Adama,-1.0,56.86369699999999,21.2245499,Latvia
53,_smxrtin,Adama Traore is the undisputed King of PnP FC,2020-07-15 23:46:00,en,London/Birmingham,Adama,0.0,52.45238209999999,-1.7435071,United Kingdom
54,DrippyAWB,When you realize Daniel James weighs more than Adama Traore,2020-08-03 13:23:21,en,🏠,Adama,0.5,39.9333635,32.8597419,Turkey
55,Nasrudinislam,"Berharap adama traore sih, ini pemain cocok bgt sm strategi klop",2020-08-03 13:33:50,in,"Malang, Jawa Timur",Adama,0.0,-7.9666204,112.6326321,Indonesia
56,Khezzzaa1,So we're probably gonna get Jadon Sancho? Sound. Not quite Adama Traore but guess he'll do,2020-08-03 13:34:41,en,"West Midlands, England",Adama,0.4,52.4750743,-1.829833,United Kingdom
57,Vaughany1973,If he's worth that how much is Adama Traore worth?,2020-08-03 13:37:55,en,"Oswestry, England",Adama,0.26666666666666666,52.857148,-3.056412,United Kingdom
58,francoismendy1,: Victime des viols et humiliations dAdama Traore : 15 000 euros dindemnits Cagnotte leetchi pou,2020-08-03 18:30:29,fr,France,Adama,0.0,-25.7478676,28.2292712,South Africa
59,Stokesey84,Joe Biden is actually Adama Traore,2020-08-03 20:09:27,en,Plymouth UK,Adama,0.0,50.3754565,-4.1426565,United Kingdom
60,AsistAnaliz,"Bir futbolcuyla mevzuya gidecek olsanz kimi seerdiniz? Bizim seimimiz, Adama Traore. Ya sizin?",2020-08-03 20:10:55,tr,"İstanbul, Türkiye",Adama,0.0,41.0082376,28.9783589,Turkey
61,andypeahead,: There are first clear signs internally that David Alaba will extend his contract at Bayern. After the meeting with Alaba's,2020-08-02 16:13:54,en,bangor northern Ireland,David,0.11666666666666667,54.6541971,-5.6730648,United Kingdom
62,U_Switch1,: Bayern Munich will sit down with David Alaba to discuss a contract extension. The defender's wage demands have been t,2020-08-02 16:25:35,en,Gold Coast Ghana,David,-0.1555555555555556,,,
63,munich_france,DAVID ALABA DEVRAIT PROLONGER ! Le joueur s'est entretenu avec les dirigeants qui ont fait l'loge de sa saiso,2020-08-02 16:30:12,fr,"Allianz Arena, München ",David,0.0,48.2187997,11.6247072,Germany
64,EliasMayr,": Intern gibt es erste klare Zeichen, dass David Alaba seinen Vertrag bei Bayern verlngert. Nach dem Treffen mit Alabas",2020-08-02 18:37:12,de,"Saarbrücken, Deutschland",David,0.0,49.24015720000001,6.996932699999999,Germany
65,modeste_mamadou,"Cette histoire de leadership l, a ne concerne jamais Cavani apparemment",2020-07-24 17:00:40,fr,Ouagadougou-BF,Edison,0.0,12.3714277,-1.5196603,Burkina Faso
66,FaxBrony,So how would Cavani feel about being benched for Bamford as he takes time to get used to Bielsa ball?,2020-07-24 17:01:25,en,"Halifax, West Yorkshire",Edison,0.0,53.72702,-1.85754,United Kingdom
67,OCardinal17,Distraetelo con la notizia di Cavani al Napoli!!!,2020-07-24 17:01:56,it,Regno delle Due Sicilie ,Edison,0.0,37.5999938,14.0153557,Italy
68,valentim_rebelo,"LTIMA HORA !! Aps Cavani, Messi e D.Trump, o novo relacionado ao SLB RicFazeres, o youtuber comentou o rumor: ""Um tr",2020-07-24 17:02:05,pt,"Lisboa, Portugal",Edison,0.0,38.7222524,-9.1393366,Portugal
69,DailyUSANews,"FIFA 21 | TOP 20 URUGUAYAN PLAYERS RATINGS PREDICTION | w/ Suarez, Cavani &amp; Godin #guestpostservi",2020-07-24 17:02:33,und,United States,Edison,0.5,-36.84830480000001,174.7624886,New Zealand
70,guimsabreu,Cavani assina at 2023. Bem-vindo! #EPluribusUnum,2020-07-24 17:02:42,pt,"Lisboa, Portugal",Edison,0.0,38.7222524,-9.1393366,Portugal
71,rolexrawtherr,"CAVANI LMAOOOOOOOOO, GET HIM OUT",2020-07-24 17:03:37,en,Sitiawan,Edison,0.0,4.216825,100.6978241,Malaysia
72,yigittiss,"Kimin alternatifi? Cavani geldi de haberimiz mi yok Cengiz bey abi. Smolov, vedat donunda sallandrr",2020-07-24 17:04:08,tr,İzmir,Edison,0.0,38.423734,27.142826,Turkey
73,_Guilo95,C con pour Cavani,2020-07-24 17:05:10,fr,"Argenteuil, France",Edison,0.0,48.9472096,2.2466847,France
74,Jessicalvcastro,Portanto o tema do jogo aberto hoje de como cavani quase foi para o Benfica nunca acabem,2020-07-24 17:05:41,pt,Braga • Portugal,Edison,0.0,41.5454486,-8.426506999999999,Portugal
75,titas96,e continua a propaganda da comunicao social do Cavani para o Benfica,2020-07-24 17:05:57,pt,Santa Maria da Feira,Edison,-0.03333333333333334,40.926794,-8.5483247,Portugal
76,matierrecalde,"9El pase de #Cavani al #Benfica se cay porque, segn el diario A Bola, las exigencias econmicas del delantero",2020-07-24 17:06:52,es,"Argentina, Buenos Aires",Edison,0.0,-34.6036844,-58.3815591,Argentina
77,modeste_mamadou,"Silva tait bon et sans concurrence, Cavani pas. Fin de l'histoire",2020-07-24 17:09:03,fr,Ouagadougou-BF,Edison,0.0,12.3714277,-1.5196603,Burkina Faso
78,paulo_pinto,"O ""jornalista"" do  a falar na CMTV est muito chateado porque o Cavani no quer o Benfica: ""pode ir",2020-07-24 17:09:41,pt,Porto,Edison,0.0,41.1579438,-8.629105299999999,Portugal
79,6ix9ine08366820,Choose your favourite striker from the following: Benzema Suarez Higuain Aguero Ibrahimovic Cavani mart,2020-07-24 17:09:41,en,"Mbarara, Uganda",Edison,0.0,-0.6071596,30.6545022,Uganda
80,ewannelsonLUFC,This statistic is from 2016/2017. Cavani scored 49 goals that year. #LUFC,2020-07-24 17:10:30,en,"York, England",Edison,0.0,53.95996510000001,-1.0872979,United Kingdom
81,PippoCurci,Cavani non sopporta Ibra perch quando stava al PSG a Cavani non facevano battere neanche le rimesse laterali,2020-07-24 17:12:42,it,"Pordenone, Friuli-Venezia Giul",Edison,0.0,45.96263980000001,12.6551362,Italy
82,OctavioArg,"Es posible un ataque con Bamford y Cavani juntos? Sera letal para los arqueros rivales. Pregunto, que",2020-07-24 17:13:08,es,"Mar del Plata, Argentina",Edison,0.0,-38.0054771,-57.5426106,Argentina
83,93__Jr,Culotte pour un mec qui tweet tjrs a propos de Cavani en disant que tu lapprcie et aprs mettre a,2020-07-24 17:15:28,fr,Parc des princes,Edison,0.0,5.6037168,-0.1869644,Ghana
84,sr_rodrigopf,OFICIAL: Cavani assina pelo Benfica at 2023!,2020-07-24 17:15:46,pt,Portugal,Edison,0.0,-6.2087634,106.845599,Indonesia
85,dilbertugrul,Salara dokunmayp sakallar sfrladm Edinson Cavani gibi dolayorum u an,2020-07-24 17:16:45,tr,"Kocaeli, Türkiye",Edison,0.0,40.7654408,29.9408089,Turkey
86,Black_Ninja_237,Ou merci aussi au club. car pour moi les 2 parties sont c,2020-07-24 20:04:10,fr,"Paris, France",Edison,0.0,48.856614,2.3522219,France
87,lucassbrito99,mas segundo nosso amigo  o cavani craque,2020-07-24 20:04:12,pt,rj,Edison,0.0,,,
88,FedeRodriguez41,Viernes con estilo... Con el estilo de #LaUniversidadDelFtbol!  y el #GolBelco de la semana. ,2020-07-24 20:04:16,es,"Belvedere, Montevideo",Edison,0.0,-34.9011127,-56.16453139999999,Uruguay
89,afomesquita2004,Sei de fonte segura que depois de contratar Cavani e James; o prximo grande gesto de Lus Filipe vieria ser desligar a playstation.,2020-07-24 20:04:45,pt,"Vila Nova de Gaia, Portugal",Edison,0.0,41.1238759,-8.611785099999999,Portugal
90,CmouaRUDY,Si  hs pour la  merci  pour son esprit dquipe #PSGASSE,2020-07-24 20:05:02,fr,.,Edison,0.0,-25.815134,28.241472,South Africa
91,thedonbielsa,how much for cavani to join leeds,2020-07-24 20:05:07,en,Dewsbury,Edison,0.2,53.689833,-1.6296949,United Kingdom
92,Fine_delgioco,Cavani ne laurais pas eu,2020-07-24 20:05:23,fr,"Paris, France",Edison,0.0,48.828508,2.2188068,France
93,VTgol9,prefiro cavani do que o icard,2020-07-24 20:05:42,pt,JL,Edison,0.0,0.3475964,32.5825197,Uganda
94,NamasteDavide,Posso buttare un nome os a parametro zero e con carriera accanto a Ciro? Cavani,2020-07-24 20:06:28,it,"Roma,Italia",Edison,0.0,41.9027835,12.4963655,Italy
95,lusil1950,Cavani quando recebe a notcia que o Benfica lhe fechou a porta. Fora Cavani,2020-07-24 20:06:30,pt,Portugal,Edison,0.0,38.423734,27.142826,Turkey
96,Aliyy_U,Cavani &gt;&gt;&gt; Icardi,2020-07-24 20:06:49,it,Somewhere,Edison,0.0,6.6666004,-1.6162709,Ghana
97,URUGUAY_SOCCER,me encantara verlo a Cavani en la EPL y con Bielsa an ms,2020-07-24 20:07:23,es,toronto,Edison,0.0,43.653226,-79.3831843,Canada
98,LaTotaUnchained,"Je deteste Cavani. Mais penser une seconde qu'a leur prime, Icardi est meilleur que Cavani, cest a mourir de rire.",2020-07-24 20:07:28,fr,Morne Plaine,Edison,0.0,40.6559859,-73.8342388,United States
99,Anthobaks,On a remplac Cavani par Icardi,2020-07-24 20:07:30,fr,Chez moi,Edison,0.0,52.3555177,-1.1743197,United Kingdom
100,MathisChevalie8,Dgout parce que techniquement il peut faire des trucs mais ils se proposent jamais on va finir avec un cavani bis,2020-07-24 20:07:44,fr,"Inderøy, Norge",Edison,0.0,63.8449932,11.0414943,Norway
101,Gabriel7sa_,"cavani faria esse gol, logo cavani&gt;talaricardi",2020-07-24 20:08:00,it,ST2/CDB,Edison,0.0,52.3555177,-1.1743197,United Kingdom
102,Olatejulukman1,Icardi. I wonder why let go of cavani on free.,2020-07-24 20:08:05,en,My bed,Edison,0.4,,,
103,leewindselecta,Aposto que este o Cavani que o Benfica vai buscar. #defeso #Benfica,2020-07-24 20:08:20,pt,"London, England",Edison,0.0,51.5073509,-0.1277583,United Kingdom
104,bangigiangi,Ma Cavani non era della Traggica...,2020-07-24 20:09:31,it,"Roma, Lazio",Edison,0.0,48.856614,2.3522219,France
105,queroqtefodastp,"""guias fecham a porta a Cavani"" e ""Benfica descarta James"". Este pas coloca a Coreia do Norte a um canto.",2020-07-24 20:09:46,pt,4465 ,Edison,0.0,41.0082376,28.9783589,Turkey
106,Brigade_Paris,faut faire revenir cavani pour la ldc,2020-07-24 20:10:51,fr,ⵣ🇩🇿,Edison,0.0,,,
107,JoaquinBarros27,No lo echeron...es mas ahora cavani ae gratis donde se le pinte y por el salario que mejor prefiera,2020-07-24 20:11:24,es,Posadas / Misiones / Argentina,Edison,0.0,-27.3621374,-55.90087459999999,Argentina
108,NamasteDavide,"Le solite chiacchiere, comunque come idea non sarebbe affatto male, Correa in campionato e Cavani in Champions",2020-07-24 20:12:05,it,"Roma,Italia",Edison,0.0,41.9027835,12.4963655,Italy
109,cpereirapedro,ltima Hora ! Cavani pede apoio psicolgico na sequncia do desinteresse do Benfica na sua contratao.,2020-07-24 20:12:49,pt,Portugal,Edison,0.0,30.00682669999999,31.2969674,Egypt
110,VTgol9,"Srio irmo, cavani mais decisivo",2020-07-24 20:13:24,pt,JL,Edison,0.0,,,
111,bogdandebodnar,"Le PSG sans Cavani c'est comme vivre sans un tre cher, j'ai l'impression qu'il est toujours l et qu'il va rentrer la mi-temps #PSGASSE",2020-07-24 20:14:35,fr,"Paris, France",Edison,0.0,48.856614,2.3522219,France
112,NamasteDavide,Sono entrambi a parametro zero e avresti risolto il problema attacco...ma Cavani bollito no..,2020-07-24 20:16:52,it,"Roma,Italia",Edison,0.0,41.9027835,12.4963655,Italy
113,_BCLeeds,LB - no clue CAM - Almada Winger - Benrahma ST - Cavani/Mitrovic/Wilson,2020-07-24 20:17:41,en,"Hull, England",Edison,0.0,53.76762360000001,-0.3274198,United Kingdom
114,aAlan_Gomez,"Me met en tremendo quilombo por defender a Cavani, me chupa un huevo, a Cavani no me lo tocan manga de giles",2020-07-24 20:17:48,es,El mejor país Uruguay,Edison,0.0,6.6666004,-1.6162709,Ghana
115,Blessudo_Kiddo,Il est en train de devenir un Cavani 2 je suis dboussol,2020-07-24 20:18:43,fr,Gangsta’s Paradise,Edison,0.0,-7.239960900000001,-36.7819505,Brazil
116,Cerebrone,Cavanis main hater.,2020-07-24 21:45:11,en,Corner of First and Amistad,Edison,0.16666666666666666,6.6666004,-1.6162709,Ghana
117,richardworby,Premier League defenders going up against Bamford and Cavani next season,2020-07-24 21:45:27,en,Leeds,Edison,0.0,37.2385931,-113.3591167,United States
118,FelixJouany,"Que Cavani laisse un grand vide devant aussi bien offensivement que dfensivement, que lon a toujours",2020-07-24 21:45:49,fr,"Clermont-Ferrand, France",Edison,0.5,45.77722199999999,3.087025,France
119,Olatejulukman1,Cavani is like Messi's Suarez to neymar. Man misses chances every damn time,2020-07-24 21:46:25,en,My bed,Edison,0.0,51.5073509,-0.1277583,United Kingdom
120,antho14185369,Cest vrai que vous ntes pas des figurants vous et le but de cavani cest la 92eme pour galiser co,2020-07-24 21:46:27,fr,"Provence-Alpes-Côte d'Azur, France",Edison,0.0,43.9351691,6.0679194,France
121,Inan_Narloulou,Mdrr moi jle trouve attachant kurzawa ! C'est comme Cavani c'tait une chvre mais c'tait la notre ! Haha,2020-07-24 21:47:39,fr,Paris,Edison,0.2,48.856614,2.3522219,France
122,Bapt2retour,1/1 4/4 Le PSG a gagn 100% de ses trophes et de ses matchs depuis le dpart d Edinson Cavani. Les hommes mentent mais pas,2020-07-24 21:48:24,fr,Arkadia,Edison,0.0,37.5881058,-90.6290109,United States
123,fabis32_1,"Bien echado ese gil, si el que puso los huevos ese da fue Neymar. A Messi le falt vomitar cuando hizo el gol Cavani El",2020-07-24 21:48:44,es,Bogotá,Edison,0.0,4.710988599999999,-74.072092,Colombia
124,cjcorinthiano,Parece que ele joga sozinho e ningum joga com Neymar... cad o Cavani nesse jogo?ele saiu?,2020-07-24 21:48:55,pt,La Aonde O Vento Faz A Curva,Edison,0.0,34.0522342,-118.2436849,United States
125,ficalaquieto,"Sim o Benfica vai mesmo comprar o Cavani, o James Rodriguez, o Cebolinha, mais algum? Ouvi dizer que o Messi est triste",2020-07-24 21:49:06,pt,Portugal,Edison,0.0,-1.2920659,36.8219462,Kenya
126,sebaalvareza,sac la foto?,2020-07-24 21:49:07,es,"Asunción, Paraguay",Edison,0.0,40.94983999999999,39.81538,Turkey
127,_serjx,quem eh cavani perto de mim mano para,2020-07-24 21:50:26,pt,rodeo,Edison,0.0,4.7060321,-74.05235309999999,Colombia
128,Cerebrone,PSG Twitter missing Cavani after watching yet another Icardi disasterclass and realising he really cant play ball. Tears in my eyes.,2020-07-24 21:50:46,en,Corner of First and Amistad,Edison,0.0,25.2048493,55.2707828,United Arab Emirates
129,lourd4lanre,PSG Twitter missing Cavani after watching yet another Icardi disasterclass and realising he really cant play ball. Tears in,2020-07-24 21:51:02,en,"Akure,Nigeria.",Edison,0.0,7.257132500000001,5.205790899999999,Nigeria
130,leandroalbin1,"El periodista Portugus dijo que vea inviable la llegada de Cavani a Benfica, por razones estrictamente econmicas, seg",2020-07-24 21:54:01,es,"Montevideo, Uruguay",Edison,0.0,-34.9011127,-56.16453139999999,Uruguay
131,max_ivn,je mexcuse pour toutes les fois o je me suis moqu de toi El Matador reviens stp jen ai marre du gros lard argentin,2020-07-24 21:57:57,fr,"Paris, France",Edison,0.0,48.856614,2.3522219,France
132,SophieDuault,"PSG : Un salaire effarant, deux clubs abandonnent Cavani via ",2020-07-24 21:58:19,fr,"Plédran, France",Edison,0.0,48.446014,-2.745903,France
133,SupraPaaris,Frrot comment tu vas ?? Prends la cheville de Cavani sil faut mais soit sur le terrainn,2020-07-24 21:58:20,fr,"Nanterre, CR7 FC, LeBron FC",Edison,0.0,48.892423,2.215331,France
134,YXNDI,At least somebody who watches PSG and sees what I saw. Massive downgrade on Cavani,2020-07-24 21:58:29,en,Cibeles,Edison,-0.15,,,
135,hargrave01,"Cavani , Eze , white",2020-07-24 21:58:39,hu,Leeds .. ,Edison,0.0,53.8007554,-1.5490774,United Kingdom
136,787858aa,"Fuera lemar, costa, herrera y vitolo. Fichar un DC estilo cavani, a",2020-07-24 21:58:41,es,"Madrid, Comunidad de Madrid",Edison,0.0,40.4167754,-3.7037902,Spain
137,rangerslad1983,Id rather cavani,2020-07-24 21:59:44,en,ayrshire (scotland),Edison,0.0,55.3649698,-4.6679959,United Kingdom
138,KyLx78,Felicitaciones Campeones Flicitations Champions,2020-07-25 10:14:32,es,"Mantes-la-Ville, France",Edison,0.0,48.978154,1.713371,France
139,okazyon92,"Personnellement je le croirai, et je ne pense pas tre le seul. Il mrite une fin plus claire a Paris.",2020-07-25 10:15:20,fr,Paris,Edison,0.0,48.856614,2.3522219,France
140,FootyFansFC,Leeds potential XI for Premier League return with three signings including Edinson Cavani #FOOTBALL,2020-07-25 10:16:02,en,United Kingdom,Edison,0.0,5.6037168,-0.1869644,Ghana
141,IyanuGreat95,Zlatan Ibrahimovic and Cavani to Leeds United. Bring it on,2020-07-25 10:18:34,en,Nigeria,Edison,0.0,-8.783195,34.508523,Tanzania
142,untroisundeux,Suce,2020-07-25 10:20:44,en,Seventy Eight ,Edison,0.0,41.2867433,-73.4292905,United States
143,Wallass876,Ptdr quooooooi !!!! ???? Mdr oh je dfendais cavani tous les jours de ma vie jusqu la. Le boug ces,2020-07-25 10:22:21,fr,"Massy, France",Edison,0.0,48.730756,2.27137,France
144,chnz92,Wsh gros tu regardais le match sur Gulli ? Aprs la blessure de Mbappe le match il tait te,2020-07-25 10:23:24,fr,Nanterre ,Edison,0.0,48.892423,2.215331,France
145,StiflerWilliam,"Tu fais parti des vainqueurs, ton nouveau titre dans ton palmars lgende. Nous t'attendons pour te",2020-07-25 10:23:29,fr,Paris,Edison,0.0,48.856614,2.3522219,France
146,Nameless__M,Non,2020-07-25 10:27:18,und,France,Edison,0.0,38.9848295,-3.927377799999999,Spain
147,GoOnGarySpeed,Cavani is world class I don't really get why people wouldn't want him wearing the white of Leeds if he,2020-07-25 10:28:31,en,"Leeds, England",Edison,0.1,53.8007554,-1.5490774,United Kingdom
148,sscalcionapoli1,Dove giocher Cavani? La stampa francese: nessuno pu pagargli il maxi-ingaggio #calciomercato,2020-07-25 10:30:01,it,"Napoli, Campania",Edison,0.0,40.8517983,14.26812,Italy
149,foot365,Cavani flicite le PSG pour la victoire en Coupe,2020-07-25 10:30:08,fr,Paris,Edison,0.0,48.856614,2.3522219,France
